query_id,lora_id,rank
115416,116855,1
115416,217326,2
115416,110539,3
115416,74104,4
115416,70306,5
115416,29758,6
115416,235178,7
115416,195722,8
115416,67773,9
115416,57740,10
115416,67135,11
115416,51522,12
115416,104487,13
115416,138566,14
115416,98242,15
115416,87259,16
115416,9192,17
115416,22998,18
115416,109766,19
115416,98871,20
115416,54432,21
115416,208175,22
115416,78523,23
115416,56915,24
115416,34030,25
115416,53552,26
115416,45536,27
115416,152673,28
115416,37316,29
115416,26568,30
115416,26127,31
115416,23942,32
115416,98841,33
115416,42118,34
115416,50400,35
115416,22870,36
115416,27700,37
115416,25404,38
115416,28175,39
115416,96883,40
115416,126477,41
134651,49164,1
134651,138566,2
134651,235178,3
134651,6080,4
134651,69551,5
134651,57740,6
134651,19432,7
134651,132020,8
134651,57734,9
134651,95994,10
134651,94596,11
134651,67773,12
134651,100404,13
134651,17350,14
134651,87259,15
134651,14019,16
134651,105929,17
134651,90523,18
134651,97114,19
134651,183622,20
134651,98416,21
134651,85193,22
134651,58511,23
134651,77103,24
56915,235178,1
56915,71550,2
56915,13582,3
56915,17350,4
56915,37316,5
56915,115652,6
56915,67135,7
56915,19073,8
56915,56441,9
56915,24171,10
56915,9192,11
56915,45597,12
56915,34030,13
56915,208175,14
56915,158054,15
56915,132043,16
56915,88422,17
56915,217326,18
56915,109766,19
56915,70306,20
56915,27978,21
56915,190315,22
56915,18805,23
56915,114286,24
56915,20930,25
56915,208355,26
56915,105373,27
56915,78523,28
56915,54432,29
56915,180894,30
56915,23942,31
56915,53953,32
56915,64892,33
56915,205311,34
56915,27700,35
56915,25483,36
56915,26127,37
56915,96883,38
56915,126245,39
56915,83373,40
77103,36857,1
77103,132020,2
77103,57740,3
77103,105929,4
77103,142805,5
77103,134651,6
77103,94596,7
77103,17350,8
77103,104487,9
77103,67773,10
77103,235178,11
77103,19432,12
77103,97114,13
77103,95994,14
77103,69551,15
77103,57734,16
77103,27978,17
77103,138566,18
77103,90523,19
77103,98416,20
77103,87259,21
77103,26127,22
77103,8929,23
100404,94596,1
100404,235178,2
100404,69551,3
100404,17350,4
100404,95994,5
100404,97114,6
100404,105929,7
100404,18805,8
