Model_id,Model Name,URL,split
58390,Detail Tweaker LoRA (细节调整LoRA),https://civitai.com/api/download/models/62833,train
11177,Anime Tarot Card Art Style LoRA (塔罗牌/タロットカード),https://civitai.com/api/download/models/28609,train
7563,【Character】alice (nikke),https://civitai.com/api/download/models/18060,train
16997,Standing Full Body with Background Style LoRA (带背景立绘/背景付き立ち絵),https://civitai.com/api/download/models/20072,train
42118,【POV】Arm Support and From Below 被压视角,https://civitai.com/api/download/models/46806,eval
12657,Thai university uniform,https://civitai.com/api/download/models/58690,train
17967,Murky's - Finger in Mouth LoRA,https://civitai.com/api/download/models/21236,train
66030,Purah (The Legend of Zelda: Tears of the Kingdom) LoRA,https://civitai.com/api/download/models/91449,train
91455,Kitagawa Marin 喜多川海夢 / Sono Bisque Doll wa Koi wo Suru,https://civitai.com/api/download/models/97468,train
87167,Tifa Lockhart/ティファ・ロックハート (Final Fantasy VII) LoRA | 11 Outfits,https://civitai.com/api/download/models/311382,train
55320,Sailor Mercury セーラーマーキュリー / Sailor Moon,https://civitai.com/api/download/models/59697,train
89013,Bulma ブルマ / Dragon Ball,https://civitai.com/api/download/models/94729,train
11413,Haute Couture - by EDG,https://civitai.com/api/download/models/322508,train
78997,Pop Up Parade (Anime Figures/ Figurines) (Style),https://civitai.com/api/download/models/83799,eval
33609,Gothic Punk Girl,https://civitai.com/api/download/models/256303,train
196752,Hyper detailer,https://civitai.com/api/download/models/229782,eval
19327,TWbabe,https://civitai.com/api/download/models/47581,train
5367,[Tsumasaky] Nilou - Genshin Impact LoRA,https://civitai.com/api/download/models/75255,train
20846,Biomechanicals (HR Giger),https://civitai.com/api/download/models/24810,train
78033,Rosa メイ / Pokemon,https://civitai.com/api/download/models/82809,train
80848,Hatsune Miku 初音ミク | 23 Outfits | Character Lora 9289,https://civitai.com/api/download/models/85767,train
102305,Headpat POV | Concept LoRA,https://civitai.com/api/download/models/179967,train
9192,Kamisato Ayaka | 神里綾華 (Genshin Impact),https://civitai.com/api/download/models/10895,eval
30672,clothes Transparent raincoat,https://civitai.com/api/download/models/37117,train
185743,8bitdiffuser 64x | a perfect pixel art model,https://civitai.com/api/download/models/636318,train
80237,Minamoto no Raikou (Yorimitsu) 源頼光 / Fate/Grand Order,https://civitai.com/api/download/models/85057,train
8668,【Concept】Cultivation Tank/Stasis Tank 培养罐/培养缸,https://civitai.com/api/download/models/22219,train
23715,苗族服装 | Hmong costume,https://civitai.com/api/download/models/28329,eval
20648,Jessie pokemon | Goofy Ai,https://civitai.com/api/download/models/155998,eval
90393,Japan Vibes - Film color,https://civitai.com/api/download/models/107032,train
78376,【Muggle Lora】Real Fitting room selfie 真实试衣间自拍,https://civitai.com/api/download/models/83182,train
13320,Houshou Marine (5 Outfits) | Hololive,https://civitai.com/api/download/models/51703,train
22702,Traditional Maid Dress,https://civitai.com/api/download/models/27109,train
18122,Fitting Room,https://civitai.com/api/download/models/94485,train
148302,Fishnet Top | Goofy Ai,https://civitai.com/api/download/models/165486,train
117073,Yor Forger (Yor Briar) ヨル・フォージャー (ヨル・ブライア) / SPY × FAMILY,https://civitai.com/api/download/models/126823,train
7759,Hayase Yuuka / 早瀬 ユウカ Blue Archive - 4 outfits,https://civitai.com/api/download/models/45816,train
77995,【Muggle Lora】Escalatorview 扶梯视角,https://civitai.com/api/download/models/82768,train
63013,Aerith Gainsborough (Final Fantasy VII) LoRA,https://civitai.com/api/download/models/67528,eval
31342,M_vehicle 卡通车车,https://civitai.com/api/download/models/37767,train
19431,Shinjo Akane 新条アカネ / SSSS.GRIDMAN & GRIDMAN UNIVERSE,https://civitai.com/api/download/models/108238,train
24317,Kokkoro / コッコロ,https://civitai.com/api/download/models/29071,train
30034,concept Bags under eyes(dark circles),https://civitai.com/api/download/models/36182,train
59932,銀狼 - Silver Wolf / Honkai: Star Rail - 崩壊スターレイル,https://civitai.com/api/download/models/129022,train
159189,"Mesugaki Expression ""Pack"" Concept LoRA",https://civitai.com/api/download/models/179001,train
47286,DOA - Marie Rose,https://civitai.com/api/download/models/202080,train
93895,Chinese Style_Future_v1,https://civitai.com/api/download/models/100152,train
78915,【Muggle Lora】Nightclub Girls/Crazy Party Girls,https://civitai.com/api/download/models/83719,train
166415,Mommyfy | Real mature anime women/milfs,https://civitai.com/api/download/models/230410,train
56374,"ins style,still life,simple background,简约静物",https://civitai.com/api/download/models/60804,train
33807,M_mini scene 迷你盒盒,https://civitai.com/api/download/models/40100,eval
121043,Sailor Moon (Tsukino Usagi) セーラームーン (月野うさぎ) / Sailor Moon,https://civitai.com/api/download/models/131685,train
43256, Blue Archive Emoji style,https://civitai.com/api/download/models/47901,train
130868,Pastel color,https://civitai.com/api/download/models/143715,train
11473,Atomic Heart robot maid,https://civitai.com/api/download/models/13581,eval
122778,Anis (NIKKE) LoRA | 2 Outfits (Sparkling Summer and Default),https://civitai.com/api/download/models/133769,train
13582,Nakiri Erina | Food Wars,https://civitai.com/api/download/models/16424,eval
7502,[Tsumasaky] Kallen Stadtfeld - Code Geass,https://civitai.com/api/download/models/72886,train
25383,XSarchitectural-7Modern interior,https://civitai.com/api/download/models/30384,train
85093,Sailor Moon (1992 Anime) (Style),https://civitai.com/api/download/models/90439,train
81545,Invisible concept lora,https://civitai.com/api/download/models/86528,train
27530,XSarchitectural-21Futuretechnologycity,https://civitai.com/api/download/models/32964,train
25891,Sister Claire シスター・クレア / Nijisanji,https://civitai.com/api/download/models/450013,train
115312,竖着悬空捆绑_suspension、hanging_吊り,https://civitai.com/api/download/models/188103,train
89630,Marnie マリィ / Pokemon,https://civitai.com/api/download/models/95424,train
61640,【Costume】Better Ghost Costume 更好的幽灵装,https://civitai.com/api/download/models/66136,train
21271,Pecorine / ペコリーヌ,https://civitai.com/api/download/models/25320,train
34030,Better Swimwear,https://civitai.com/api/download/models/141142,eval
46310,Fantasy Character- PAseer,https://civitai.com/api/download/models/61099,train
105764,Texture illustration,https://civitai.com/api/download/models/113534,train
118552,Models - ALKHEM (reupload),https://civitai.com/api/download/models/143289,train
178949,Fern (3 Outfits) | Frieren: Beyond Journey's End,https://civitai.com/api/download/models/391508,train
26580,XSarchitectural-19Houseplan,https://civitai.com/api/download/models/31817,eval
98841,Asuka Langley Soryu (惣流・アスカ・ラングレー) - Neon Genesis Evangelion (新世紀エヴァンゲリオン),https://civitai.com/api/download/models/228643,eval
39164,Fujiwara Chika 藤原千花 / Kaguya-sama wa Kokurasetai,https://civitai.com/api/download/models/604611,train
132778,"空气口交_air oral sex_透明フェラ,フェラ素振り",https://civitai.com/api/download/models/146081,train
58247,Product Design (Elegant minimalism-eddiemauro) LORA,https://civitai.com/api/download/models/62704,train
116855,Furtastic Detailer,https://civitai.com/api/download/models/126548,eval
